Rt,Tt,Wt,Qt
0,13.277,3.95,0.000356731
0,13.089,3.515,0.000295381
0,12.819,3.434,0.000275283
0,12.575,3.332,0.000264324
0,12.398,3.187,0.000550275
0,12.311,2.87,0.000278502
0.082,12.479,2.696,0.000499482
0.352,14.698,2.417,0.00095259
0.634,17.742,3.095,0.000515569
0.827,19.985,3.37,0.000644103
0.961,21.557,3.567,0.000255381
1.03,22.57,3.78,0.00098925
1.026,23.096,3.766,0.0003855
0.952,23.233,3.493,0.000284818
0.814,23.025,3.083,0.000433998
0.619,22.427,2.671,0.000991923
0.367,21.388,2.178,0.000256254
0.123,19.471,2.329,0.000326736
0,17.586,2.369,0.001217848
0,16.765,2.531,0.000675934
0,15.856,3.047,0.000631874
0,14.971,3.559,0.000587451
0,14.399,3.76,0.00113112
0,13.979,3.786,0.000448404
