t;Wt;Rt;Tt
0;2.478641509;0;14.74972758
1;2.41554717;0;14.52226492
2;2.338735849;0;14.30582565
3;2.265924528;0;14.11935051
4;2.220754717;0;13.90427284
5;2.280339623;0.639937107;13.69432096
6;2.325811321;39.51013207;13.6789611
7;2.128415094;157.4678176;14.57645679
8;2.132301887;345.9654401;16.6646807
9;2.448754717;509.2839378;18.8080552
10;2.745358491;646.8748901;20.53253387
11;2.846867925;725.1432746;21.76780059
12;2.786301887;738.9929236;22.43101021
13;2.649811321;678.0597469;22.97086655
14;2.478226415;533.1883508;23.15799755
15;2.241622642;364.6081113;22.74764647
16;1.901;182.4351572;21.75738952
17;1.863283019;45.30508805;20.37954758
18;2.183169811;0.71991195;18.592595
19;2.422301887;0;17.36895744
20;2.539603774;0;16.48922869
21;2.611037736;0;15.83655701
22;2.548113208;0;15.36585464
23;2.450867925;0;14.99205563
