t;Wt;Rt;Tt
0;8.043711538;0;27.85619231
1;8.051480769;0;27.79432692
2;8.076173077;0;27.73944231
3;8.123557692;0;27.70207692
4;8.161057692;0;27.69432692
5;8.176557692;0;27.71082692
6;8.199769231;18.10034615;27.73517308
7;8.234730769;136.4906923;27.76815385
8;8.236769231;308.5812692;27.81313462
9;8.187230769;474.4411538;27.86061538
10;8.104538462;611.3074808;27.89630769
11;7.974192308;692.8335577;27.91142308
12;7.800461538;715.0602308;27.90965385
13;7.616884615;682.2873654;27.89951923
14;7.459403846;592.7732115;27.88840385
15;7.372153846;454.4776346;27.88307692
16;7.351038462;289.0804615;27.88688462
17;7.402442308;118.5814615;27.90063462
18;7.507153846;11.19507692;27.91284615
19;7.619711538;0;27.92525
20;7.708788462;0;27.93796154
21;7.767346154;0;27.941
22;7.796384615;0;27.91836538
23;7.785;0;27.86732692
