t;Wt;Rt;Tt
0;3.098576923;0;24.26803846
1;3.102403846;0;24.07038462
2;3.139807692;0;23.88257692
3;3.212576923;0;23.70036538
4;3.215153846;0;23.53805769
5;3.168019231;2.985884615;23.41994231
6;2.986769231;78.32494231;23.74076923
7;1.903673077;223.0216154;24.75980769
8;1.743884615;378.7418654;25.75409615
9;2.011153846;506.1061731;26.67513462
10;2.060230769;590.8753654;27.48061538
11;2.043269231;629.6132308;28.08528846
12;1.957769231;613.4524423;28.38401923
13;1.853884615;543.8050577;28.39365385
14;1.68775;423.1051538;28.17025
15;1.330365385;273.0505192;27.76271154
16;1.0305;126.7358462;27.22865385
17;1.363403846;17.98292308;26.55911538
18;1.821865385;0;25.96542308
19;2.2145;0;25.54323077
20;2.497557692;0;25.18721154
21;2.682826923;0;24.86978846
22;2.832653846;0;24.58175
23;2.954307692;0;24.31982692
