t;Wt;Rt;Tt
0;7.492480769;0;27.83140385
1;7.476673077;0;27.766
2;7.492096154;0;27.71488462
3;7.530634615;0;27.68440385
4;7.556019231;0;27.68367308
5;7.596923077;0;27.70775
6;7.673653846;16.48901923;27.73744231
7;7.749923077;135.3235962;27.77867308
8;7.707653846;308.679;27.82744231
9;7.579711538;480.5553462;27.87059615
10;7.404846154;620.4014423;27.90365385
11;7.168769231;708.6957115;27.91709615
12;6.899653846;739.4696538;27.90680769
13;6.683942308;706.00875;27.89153846
14;6.580403846;611.5354808;27.87784615
15;6.600326923;468.6777115;27.87723077
16;6.667038462;293.9871154;27.88751923
17;6.753846154;121.1601923;27.90046154
18;6.868769231;11.31076923;27.91155769
19;6.983865385;0;27.92563462
20;7.087134615;0;27.93982692
21;7.162076923;0;27.94334615
22;7.253192308;0;27.91857692
23;7.31775;0;27.86803846
